scanned_at,kind,route,origin,return_airport,depart_date,return_date,trip_days,fare_usd,bag_usd,all_in_usd,airlines,total_stops,max_layover_min,overnight_layover,all_december,bag_confidence,url
2026-08-08T01:13:55+00:00,two-one-ways,TPA->GUA / GUA->MCO,TPA,MCO,2026-12-05,2026-12-25,20,374,90,464,United,2,1319,1,1,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjYtMTItMDVqBRIDVFBBcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,MSY->GUA / GUA->MCO,MSY,MCO,2026-12-06,2026-12-25,19,384,90,474,United,2,983,1,1,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjYtMTItMDZqBRIDTVNZcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,TPA->GUA / GUA->MCO,TPA,MCO,2026-12-05,2026-12-28,23,379,95,474,United|American,3,1319,1,1,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjYtMTItMDVqBRIDVFBBcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,ONT->GUA / GUA->MCO,ONT,MCO,2027-01-08,2027-01-27,19,387,90,477,United,3,706,1,0,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjctMDEtMDhqBRIDT05UcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,ONT->GUA / GUA->MCO,ONT,MCO,2027-01-08,2027-01-29,21,387,90,477,United,3,689,1,0,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjctMDEtMDhqBRIDT05UcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,ONT->GUA / GUA->MCO,ONT,MCO,2027-01-08,2027-02-01,24,387,90,477,United,3,689,1,0,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjctMDEtMDhqBRIDT05UcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,ONT->GUA / GUA->MCO,ONT,MCO,2027-01-08,2027-02-02,25,383,95,478,United|American,3,689,1,0,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjctMDEtMDhqBRIDT05UcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,ONT->GUA / GUA->MCO,ONT,MCO,2027-01-08,2027-02-05,28,383,95,478,United|American,3,1258,1,0,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjctMDEtMDhqBRIDT05UcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,ONT->GUA / GUA->MCO,ONT,MCO,2026-12-06,2026-12-25,19,389,90,479,United,2,983,1,1,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjYtMTItMDZqBRIDT05UcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
2026-08-08T01:13:55+00:00,two-one-ways,MDW->GUA / GUA->MCO,MDW,MCO,2026-12-02,2026-12-23,21,367,113,480,Frontier|American,2,1194,1,1,verified,https://www.google.com/travel/flights/search?tfs=GhoSCjIwMjYtMTItMDJqBRIDTURXcgUSA0dVQUIBAUgBmAEC&hl=en-US&curr=USD
